,File,Congruent,Incongruent,Stroop_effect
0,stroop_1,1.3500137330000002,1.6453846660810807,-0.29537093308108053
1,stroop_10,0.8709930976231667,1.21525873184236,-0.3442656342191933
2,stroop_11,0.5043668095038462,0.6104825516340384,-0.10611574213019226
3,stroop_12,0.897192830741,1.0157953641303124,-0.11860253338931237
4,stroop_13,0.7526261710600715,1.0511354250723635,-0.298509254012292
5,stroop_14,0.5439966141486999,0.7773016017299167,-0.23330498758121676
6,stroop_15,0.84703601917175,1.179249799111964,-0.33221377994021395
7,stroop_16,0.8290385900833331,1.13881173448,-0.3097731443966668
8,stroop_17,1.2354833517303936,1.5131568070915455,-0.27767345536115196
9,stroop_18,0.9336172647340896,0.9226750585564126,0.010942206177676939
10,stroop_19,0.8665909926941667,0.9608244182474707,-0.09423342555330394
11,stroop_2,1.135824382125,1.0951506123125,0.04067376981249993
12,stroop_20,0.6589769583517,0.8242774450326664,-0.16530048668096642
13,stroop_3,0.5705594078927501,0.7495771966578517,-0.17901778876510166
14,stroop_4,1.3006437588869166,1.3318699982072144,-0.031226239320297777
15,stroop_5,0.6294592618943,0.7306218147278215,-0.10116255283352149
16,stroop_6,1.3739563703532,1.3989590803782663,-0.025002710025066266
17,stroop_7,0.671540977,0.7402529527222224,-0.06871197572222232
18,stroop_8,0.9038279115622856,1.1494972092590938,-0.24566929769680823
19,stroop_9,0.807401065587909,0.7784045126587856,0.028996552929123398


Another stroop destroyes your csv file
